Source Order Id,Order Number,Customer Id,Customer Name,Product Code,Product Name,Order Status,Order State,Quantity,Value,Order Date
SRC-90001,ORD-1001,CUST-001,Acme Learning Ltd,PRD-ALG101,Algebra Fundamentals,Delivered,Fulfilled,120,1440.00,01/07/2026
SRC-90002,ORD-1002,CUST-002,Brighton Academy,PRD-ENG201,English Literature Pack,Placed,In Fulfilment,45,675.00,28/07/2026
SRC-90003,ORD-1003,CUST-003,Cavendish College,PRD-SCI110,Science Lab Workbook,Pending,Awaiting Payment,30,390.00,05/08/2026
SRC-90004,ORD-1004,CUST-004,Dunmore High,PRD-ALG101,Algebra Fundamentals,Cancelled,Cancelled by customer,60,720.00,15/07/2026
SRC-90005,ORD-1005,CUST-005,Eastfield School,PRD-HIS150,Modern History Reader,Delivery Failed,Customer impacted,25,500.00,20/07/2026
SRC-90006,ORD-1006,CUST-006,Fairview Trust,PRD-ENG201,English Literature Pack,Shipped,In Transit,80,1200.00,30/07/2026
SRC-90007,ORD-1007,CUST-007,Greenwood Prep,PRD-MAT300,Advanced Mathematics,Processing,Picking,15,525.00,02/08/2026
SRC-90008,ORD-1008,CUST-008,Harrow Vale,PRD-SCI110,Science Lab Workbook,Returned,Customer impacted,40,520.00,10/07/2026
SRC-90009,ORD-1009,CUST-009,Iverley Institute,PRD-GEO120,World Geography Atlas,Completed,Fulfilled,55,935.00,25/06/2026
SRC-90010,ORD-1010,,,PRD-ALG101,Algebra Fundamentals,Placed,In Fulfilment,10,120.00,03/08/2026
SRC-90011,ORD-1011,CUST-011,Kingsbridge School,PRD-ENG201,English Literature Pack,Pending,New,20,300.00,07/08/2026
SRC-90012,ORD-1012,CUST-012,Lakeside Academy,PRD-MAT300,Advanced Mathematics,Placed,In Fulfilment,35,1225.00,12/06/2026
SRC-90013,ORD-1013,CUST-013,Meadowbrook,PRD-HIS150,Modern History Reader,On Hold - Customer,Customer query open,18,360.00,22/07/2026
SRC-90014,ORD-1014,CUST-014,Northgate College,PRD-GEO120,World Geography Atlas,Delivered,Fulfilled,72,1224.00,18/07/2026
SRC-90015,ORD-1015,CUST-015,Oakhurst School,PRD-SCI110,Science Lab Workbook,Void,Cancelled duplicate,12,156.00,29/07/2026
SRC-90016,ORD-1016,CUST-016,Pinewood Trust,PRD-ALG101,Algebra Fundamentals,Awaiting Payment,New,90,1080.00,08/08/2026
SRC-90017,ORD-1017,CUST-017,Queensmead High,PRD-ENG201,English Literature Pack,Delivered,Fulfilled,150,2250.00,05/07/2026
SRC-90018,ORD-1018,CUST-018,Riverdale Academy,PRD-MAT300,Advanced Mathematics,Mystery Status,Unknown,22,770.00,01/08/2026
SRC-90019,ORD-1019,CUST-019,Southfield Prep,PRD-HIS150,Modern History Reader,Shipped,In Transit,33,660.00,04/08/2026
SRC-90020,ORD-1020,CUST-020,Thornbury College,PRD-GEO120,World Geography Atlas,Fulfilled,Completed,44,748.00,26/07/2026
SRC-90002,ORD-1002,CUST-002,Brighton Academy,PRD-SCI110,Science Lab Workbook,Placed,In Fulfilment,10,130.00,28/07/2026
SRC-90021,ORD-1021,CUST-021,Underhill School,PRD-ALG101,Algebra Fundamentals,Closed,Completed,28,336.00,10/06/2026
SRC-90022,ORD-1022,CUST-022,Valley Park High,PRD-ENG201,English Literature Pack,Draft,New,5,75.00,09/08/2026
SRC-90023,ORD-1023,CUST-023,Westbrook Trust,PRD-MAT300,Advanced Mathematics,Picked,In Fulfilment,60,2100.00,31/07/2026
